Instructor,Course,Quarter,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received
Zeger Kenneth A.,ECE 45 - Circuits and Systems (A),FA15,88.2%,89.5%,7.3,B- (2.97),C+ (2.31)
Bakovic Eric John,LIGN 101 - Introduction/Study of Language (A),FA15,95.5%,95.5%,4.95,B+ (3.34),B (3.23)
Seyfarth Scott James,LIGN 110 - Phonetics (A),FA15,96.5%,96.5%,4.46,B+ (3.49),B+ (3.57)
Cohn Neil Thomas,LIGN 118 - The Language of Comics (A),FA15,95.5%,95.5%,5.41,B+ (3.64),B (3.30)
Lott Margaret S.,LIGN 144 - Discourse Analysis: ASL Poetr (A),FA15,100.0%,100.0%,4.63,B+ (3.44),B (3.29)
Kehler Andrew Scott,LIGN 160 - Pragmatics (A),FA15,78.3%,95.7%,4.59,B (3.17),B- (2.94)
Ackerman Farrell,LIGN 176 - Language/Politics&Advertising (A),FA15,95.5%,95.5%,5.5,B+ (3.59),B (3.26)
Kluender Robert,LIGN 181 - Lang Processing in the Brain (A),FA15,91.3%,100.0%,7.11,B (3.13),B- (2.98)
Caballero Gabriela Hernandez,LIGN 8 - Languages & Cultures/America (A),FA15,81.2%,95.0%,3.81,B+ (3.60),B+ (3.34)
Krasheninnikov Sergei,MAE 101A - Introductory Fluid Mechanics (B),FA15,88.5%,30.8%,5.78,B (3.19),C+ (2.64)
Coimbra Carlos F.,MAE 101C - Heat Transfer (A),FA15,82.7%,75.0%,7.38,B (3.08),C+ (2.56)
Del Alamo Juan Carlos,MAE 104 - Aerodynamics (A),FA15,100.0%,90.5%,6.31,B (3.24),C+ (2.53)
Saintillan David,MAE 105 - Intro To Mathematical Physics (A),FA15,74.2%,96.8%,7.72,B (3.22),B- (2.99)
McEneaney William Michael,MAE 107 - Computational Methods/Engineer (A),FA15,91.1%,94.6%,6.54,B+ (3.53),B (3.29)
Rangamani Padmini,MAE 110A - Thermodynamics (A),FA15,90.4%,86.1%,8.17,B (3.26),B- (2.78)
Pawlak Geno Ronald,MAE 122 - Flow & Transport/Environment (A),FA15,74.2%,64.5%,8.69,B- (2.83),B- (2.99)
Van Den Einde Yael Dahlia,MAE 130A - Mechanics I: Statics (A),FA15,87.8%,78.0%,8.85,B (3.26),C+ (2.68)
Murakami Hidenori,MAE 130C - Mechanics III: Vibrations (A),FA15,92.9%,64.3%,7.12,B+ (3.38),B (3.15)
Nemat-Nasser Siavouche,MAE 131A - Solid Mechanics I (A),FA15,100.0%,100.0%,6.06,B+ (3.40),B- (2.90)
de Oliveira Mauricio,MAE 140 - Linear Circuits (A),FA15,79.0%,77.4%,6.6,B+ (3.35),B (3.07)
Bewley Thomas R,MAE 143C - Digital Control Systems (A),FA15,90.0%,75.0%,9.4,B+ (3.35),B+ (3.32)
Friend James Robert,MAE 150 - Computer-Aided Analysis&Design (A),FA15,83.3%,90.5%,8.26,B (3.24),B- (2.74)
Delson Nathan Joseph,MAE 154 - Prod. Desgn. & Entrepreneur. (A),FA15,100.0%,96.8%,7.6,A- (3.76),B+ (3.56)
Jayson Eric,MAE 156A - Fund. Prin./Mechanical Desgn I (A),FA15,100.0%,100.0%,8.5,B+ (3.67),B+ (3.51)
Bandaru Prabhakar,MAE 170 - Experimental Techniques (A),FA15,67.6%,57.4%,8.98,B (3.16),B (3.13)
Lal Ratnesh,MAE 170 - Experimental Techniques (B),FA15,52.9%,54.9%,10.46,B (3.29),B (3.25)
Bahadori Mohammad Yousef,MAE 181 - Space Mission Analysis/Design (A),FA15,96.0%,92.0%,4.93,B+ (3.58),B- (2.98)
Anderson Mark Ronald,MAE 2 - Intro to Aerospace Engineering (A),FA15,97.6%,100.0%,3.27,A- (3.76),B+ (3.62)
McKittrick Joanna M,MAE 20 - Elements of Materials Science (A),FA15,80.5%,51.2%,5.42,B+ (3.63),B (3.04)
Delson Nathan Joseph,MAE 3 - Intro/Engineering Graphcs&Desn (A),FA15,88.6%,91.4%,12.62,B+ (3.55),B+ (3.42)
Tolley Michael Thomas,MAE 3 - Intro/Engineering Graphcs&Desn (A),FA15,95.8%,97.2%,12.89,B+ (3.60),B+ (3.38)
Gibson Carl H.,MAE 5 - Quantitative Computer Skills (A),FA15,60.0%,72.0%,3.14,A- (3.71),A- (3.76)
Pham Hieu Tan,MAE 8 - MATLAB Program for Engr Analys (A),FA15,88.2%,77.6%,7.8,B+ (3.39),B (3.19)
Murakami Hidenori,MAE 93 - Design Compet/Design Race Car (A),FA15,77.8%,66.7%,4.25,A (4.00),
Belding Jennifer,PSYC 1 - Psychology (A),FA15,96.3%,96.3%,5.84,B+ (3.60),B (3.20)
Rose Fred E.,PSYC 100 - Clinical Psychology (A),FA15,92.6%,88.9%,6.58,B+ (3.32),C+ (2.66)
Heyman Gail D.,PSYC 101 - Developmental Psychology (A),FA15,95.9%,93.2%,5.48,B+ (3.52),B (3.26)
Belding Jennifer,PSYC 104 - Social Psychology (A),FA15,99.3%,96.5%,5.14,B+ (3.46),B (3.17)
Brady Timothy Francis,PSYC 105 - Cognitive Psychology (A),FA15,96.1%,98.7%,4.79,B+ (3.49),B- (2.81)
Dobkins Karen R.,PSYC 106 - Behavioral Neuroscience (A),FA15,86.5%,94.2%,4.9,B+ (3.36),B- (2.85)
Winward Jennifer Laven,PSYC 116 - Lab/Clinical Psyc Research (A),FA15,100.0%,100.0%,4.96,A (4.00),A- (3.96)
Bajic Daniel Andrew,PSYC 117 - Psyc Project Lab (A),FA15,100.0%,100.0%,7.95,A (4.00),A (4.00)
Linke Sarah Elizabeth,PSYC 124 - Clinical Assessment/Treatment (B),FA15,97.1%,91.3%,4.53,B+ (3.48),B+ (3.35)
Golden Susan S.,PSYC 133 - Circadian Rhythms-Bio Clocks (A),FA15,65.0%,50.0%,6.18,B (3.05),B (3.07)
Gorman Michael R.,PSYC 133 - Circadian Rhythms-Bio Clocks (A),FA15,65.0%,70.0%,6.18,B (3.05),B (3.07)
Kaye Walter H.,PSYC 134 - Eating Disorders (A),FA15,96.8%,96.8%,3.92,A- (3.77),B+ (3.41)
Toffolo Marieke,PSYC 155 - Social Psychology and Medicine (A),FA15,77.5%,66.3%,3.93,B+ (3.39),C+ (2.70)
Carver Leslie J.,PSYC 156 - Cognitive Development/Infancy (A),FA15,100.0%,100.0%,3.85,A- (3.81),A- (3.70)
Kaplan Paul,PSYC 164 - Criminology (A),FA15,93.6%,89.4%,3.95,B+ (3.40),B (3.17)
Blumenthal Emily Jeanne,PSYC 168 - Psychological Disorders/Child (A),FA15,94.2%,94.7%,4.93,B+ (3.34),B- (2.91)
Dede Adam Joseph,PSYC 171 - Neurobiology-Learning & Memory (A),FA15,90.0%,100.0%,7.7,B+ (3.33),B (3.09)
Glaser Dale,PSYC 178 - Industrial Organizational Psyc (A),FA15,87.5%,81.3%,4.3,B (3.28),B- (2.88)
George Olivier,PSYC 179 - DrugsAddiction&Mental Disordr (A),FA15,83.0%,58.5%,5.01,B (3.13),B- (2.76)
Hanes Esther,PSYC 180 - Adolescence (B),FA15,97.4%,100.0%,4.29,B+ (3.54),B (3.12)
Anagnostaras Stephan,PSYC 181 - Drugs And Behavior (A),FA15,88.5%,79.5%,3.67,B+ (3.43),B- (2.97)
Winward Jennifer Laven,PSYC 4 - General Psychology: Behavioral (A),FA15,96.6%,98.3%,4.13,B+ (3.49),B- (2.86)
Lowe Angela Beth,PSYC 60 - Introduction to Statistics (A),FA15,85.5%,91.1%,5.52,B (3.22),B (3.01)
Rickard Timothy C.,PSYC 60 - Introduction to Statistics (B),FA15,81.2%,70.9%,5.15,B (3.27),C+ (2.65)
Lowe Angela Beth,PSYC 7 - Gen Psych:Developmental Fndtns (A),FA15,94.0%,95.8%,3.39,B+ (3.60),B (3.15)
Christenfeld Nicholas,PSYC 87 - Freshman Seminar (A),FA15,100.0%,75.0%,0.5,,
Gorman Michael R.,PSYC 87 - Freshman Seminar (B),FA15,100.0%,100.0%,1.17,A (4.00),
Mac Leod Donald I.,PSYC 90 - Undergraduate Seminar (A),FA15,100.0%,100.0%,0.5,A (4.00),
Marx Susan S,CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S215,85.7%,71.4%,10.19,B+ (3.50),B (3.01)
Gillespie Gary N,CSE 12 - Basic Data Struct & OO Design (A),S215,100.0%,100.0%,15.7,B+ (3.33),B (3.27)
Shonle Macneil Charles,CSE 130 - Progrmng Lang:Princpl&Paradigm (A),S215,85.2%,66.7%,6.88,B+ (3.41),B+ (3.65)
Chu Isaac Y,CSE 136 - Enterprise-class Web Applcatns (A),S215,100.0%,100.0%,11.7,A (4.00),B (3.29)
Gillespie Gary N,CSE 15L - Software Tools&Techniques Lab (A),S215,40.0%,100.0%,2.9,B+ (3.60),B (3.15)
Hoover Gregory William,CSE 190 - Topics/Computer Sci & Engineer (B),S215,100.0%,100.0%,15.67,B+ (3.58),A- (3.78)
Rhodes Neil Campbell,CSE 20 - Intro/Discrete Mathematics (A),S215,50.0%,100.0%,6.5,B (3.00),
Tiefenbruck Janine LoBue,CSE 21 - Math/Algorithm&Systems Analys (A),S215,100.0%,100.0%,7.17,B+ (3.67),
Marx Susan S,CSE 5A - Introduction to Programming I (A),S215,88.5%,57.7%,8.65,A- (3.73),B+ (3.44)
Quest Kevin B,ECE 101 - Linear Systems Fundamentals (A),S215,90.9%,100.0%,9.23,A- (3.70),C+ (2.67)
Shevchenko Valentin I,ECE 107 - Electromagnetism (A),S215,62.5%,37.5%,12.5,C+ (2.63),B- (2.79)
Schurgers Curt,ECE 25 - Introduction to Digital Design (A),S215,100.0%,100.0%,11.83,A (4.00),
Rohr James Joseph,MAE 101B - Advanced Fluid Mechanics (A),S215,100.0%,100.0%,10.5,B (3.20),B (3.17)
Bahadori Mohammad Yousef,MAE 101C - Heat Transfer (A),S215,85.7%,100.0%,7.07,B (3.00),B- (2.79)
Bandaru Prabhakar,MAE 105 - Intro To Mathematical Physics (A),S215,76.9%,100.0%,8.35,B (3.08),B (3.09)
Alvarez-Gonzalez Begona,MAE 113 - Fundamentals of Propulsion (A),S215,100.0%,100.0%,9.17,B+ (3.33),
Bahadori Mohammad Yousef,MAE 130C - Mechanics III: Vibrations (A),S215,75.0%,100.0%,7.0,B+ (3.50),C+ (2.58)
Henniger Nicole Elizabeth,PSYC 1 - Psychology (A),S215,94.6%,100.0%,5.26,A- (3.90),B+ (3.55)
Winward Jennifer Laven,PSYC 101 - Intro/Developmental Psychology (A),S215,85.7%,88.6%,5.76,B+ (3.31),B- (2.92)
Juavinett Ashley Lauren,PSYC 103 - Intro/Principles of Behavior (A),S215,60.0%,80.0%,5.3,B (3.00),B+ (3.32)
Christenfeld Nicholas,PSYC 130 - Delay of Gratification (A),S215,100.0%,100.0%,8.5,B+ (3.60),B+ (3.52)
Christenfeld Nicholas,PSYC 157 - Happiness (A),S215,92.3%,92.3%,6.04,B+ (3.50),B+ (3.42)
Wilis Jarryd T,PSYC 158 - Interpersonal Relationships (A),S215,96.0%,96.0%,4.98,B+ (3.43),B+ (3.69)
Wixted John T,PSYC 162 - Psychology and the Law (A),S215,100.0%,100.0%,5.5,B+ (3.50),
Collett Marta S,PSYC 171 - Neurobiology-Learning & Memory (A),S215,100.0%,100.0%,7.43,B+ (3.47),
Stolarz-Fantino Stephanie,PSYC 173 - Psychology of Food & Behavior (A),S215,93.8%,87.5%,4.75,B+ (3.38),B- (2.99)
Schlosburg Joel Evan,PSYC 179 - DrugsAddiction&Mental Disordr (A),S215,100.0%,93.8%,5.13,B (3.25),B- (2.86)
Anagnostaras Stephan,PSYC 181 - Drugs And Behavior (A),S215,95.9%,89.8%,4.83,A- (3.77),B (3.23)
Blumenthal Emily Jeanne,PSYC 190 - Parenting (A),S215,97.9%,100.0%,4.88,B+ (3.65),B+ (3.38)
Rickard Timothy C.,PSYC 191 - Psychology of Sleep (A),S215,75.0%,100.0%,3.5,A- (3.75),
Albright Thomas D,PSYC 2 - Gen Psych:Biological Foundatns (A),S215,94.7%,94.7%,7.66,B+ (3.39),B- (2.77)
Raiewski Evan Eric,PSYC 60 - Introduction to Statistics (A),S215,85.0%,85.0%,6.05,B+ (3.39),B+ (3.32)
Blumenthal Emily Jeanne,PSYC 7 - Gen Psych:Developmental Fndtns (A),S215,100.0%,100.0%,6.1,A- (3.71),B (3.28)
Paturi Ramamohan,CSE 101 - Design & Analysis of Algorithm (A),S115,100.0%,72.7%,9.41,B+ (3.30),B+ (3.51)
Marx Susan S,CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),S115,85.7%,57.1%,13.36,B (3.20),B (3.12)
Shonle Macneil Charles,CSE 12 - Basic Data Struct & OO Design (A),S115,93.1%,86.2%,8.65,B+ (3.64),B+ (3.32)
Powell Thomas Allan,CSE 134B - Web Client Languages (A),S115,96.3%,92.6%,9.31,B (3.00),B (3.26)
Mirza Diba,CSE 140 - Component&Desgn Tech/Digtl Sys (A),S115,97.7%,97.7%,8.66,B+ (3.62),B+ (3.44)
Chu Isaac Y,CSE 140L - Digital Systems Laboratory (A),S115,93.0%,86.0%,7.55,A- (3.75),B+ (3.54)
Altintas De Callaf Ilkay,CSE 15L - Software Tools&Techniques Lab (A),S115,100.0%,85.7%,7.41,A- (3.75),B (3.24)
Frankie Tasha Christine,CSE 3 - Fluency/Information Technology (A),S115,90.0%,90.0%,5.83,A- (3.78),A- (3.72)
Mirza Diba,CSE 30 - Computer Organiz&Systms Progrm (A),S115,97.2%,97.2%,9.67,B+ (3.33),B- (2.99)
Marx Susan S,CSE 5A - Introduction to Programming I (A),S115,100.0%,66.7%,7.61,B+ (3.60),B+ (3.33)
Gupta Anjum,CSE 7 - Intro Programming MATLAB (A),S115,100.0%,80.0%,6.3,B+ (3.67),B (3.16)
Alcantara Eldridge Escubido,ECE 101 - Linear Systems Fundamentals (A),S115,97.3%,96.0%,11.17,B+ (3.44),B (3.19)
Sworder David D.,ECE 171A - Linear Control System Theory (A),S115,77.8%,66.7%,9.0,B (3.22),B (3.19)
Shevchenko Valentin I,ECE 45 - Circuits and Systems (A),S115,94.1%,91.2%,9.29,B (3.13),B+ (3.30)
Kim Boyoung,LIGN 101 - Introduction/Study of Language (A),S115,80.0%,60.0%,3.9,A- (3.89),B+ (3.46)
Bahadori Mohammad Yousef,MAE 101A - Introductory Fluid Mechanics (A),S115,90.9%,100.0%,9.77,B (3.09),B- (2.73)
Ezunkpe Yawo Semanu,MAE 107 - Computational Methods/Engineer (A),S115,77.8%,80.6%,9.94,B- (2.94),B (3.22)
Bahadori Mohammad Yousef,MAE 110A - Thermodynamics (A),S115,90.9%,90.9%,9.17,B+ (3.40),B- (2.85)
Murakami Hidenori,MAE 130A - Mechanics I: Statics (A),S115,100.0%,84.6%,8.35,B+ (3.69),B (3.17)
Lubarda Marko,MAE 8 - MATLAB Program for Engr Analys (A),S115,78.6%,71.4%,8.19,B+ (3.62),B+ (3.48)
Lowe Angela Beth,PSYC 105 - Introduction/Cognitive Psych (A),S115,88.9%,100.0%,8.5,B (3.11),B (3.12)
Gorman Michael R.,PSYC 106 - Introduction/Physiological Psy (A),S115,96.0%,96.0%,7.06,B (3.00),B- (2.80)
Winward Jennifer Laven,PSYC 107 - Lab/Substance Abuse Research (A),S115,100.0%,100.0%,3.75,A (4.00),
Kaye Walter H.,PSYC 134 - Eating Disorders (A),S115,100.0%,100.0%,5.13,A- (3.78),B (3.11)
Yang Dorothy Daw-Shin,PSYC 136 - Cognitive Development (A),S115,100.0%,75.0%,6.5,A- (3.75),B (3.04)
Edelman David B,PSYC 142 - Psychology of Consciousness (A),S115,87.5%,100.0%,4.0,A- (3.80),B (3.12)
Wixted John T,PSYC 144 - Memory and Amnesia (A),S115,100.0%,100.0%,5.83,B+ (3.33),B+ (3.30)
Oliver Taylor,PSYC 147 - Gender (A),S115,90.9%,81.8%,5.59,B+ (3.36),B (3.09)
Morland Leslie Ann,PSYC 154 - Behavior Modification (A),S115,100.0%,92.3%,6.04,A- (3.75),
Stretch Vincent Patrick,PSYC 163 - Abnormal Psychology (A),S115,100.0%,100.0%,6.5,B (3.00),B- (2.74)
Stretch Vincent Patrick,PSYC 164 - Criminology (A),S115,100.0%,100.0%,3.0,B (3.00),
Lapidis Rachael Lynn,PSYC 168 - Psychological Disorders/Child (A),S115,97.6%,97.6%,5.12,B+ (3.45),B- (2.91)
Ramachandran Vilayanur S,PSYC 169 - Brain Damage & Mental Function (A),S115,100.0%,85.7%,3.64,B+ (3.57),C+ (2.47)
Gorman Michael R.,PSYC 172 - Psychology of Human Sexuality (A),S115,100.0%,85.7%,5.36,B+ (3.57),B+ (3.37)
Mc Kenzie Craig R.M.,PSYC 176 - Creativity (A),S115,100.0%,92.3%,6.5,B+ (3.55),B+ (3.47)
Anagnostaras Stephan,PSYC 181GS - Drugs and Behavior (A),S115,100.0%,100.0%,4.19,A- (3.80),B+ (3.49)
Anagnostaras Stephan,PSYC 193GS - Special Topics in Psychology (A),S115,96.2%,96.2%,3.5,A- (3.84),A- (3.72)
Winward Jennifer Laven,PSYC 4 - General Psychology: Behavioral (A),S115,96.2%,88.5%,5.62,B+ (3.63),B (3.06)
Hoffman Drew Ellen,PSYC 60 - Introduction to Statistics (A),S115,93.5%,93.5%,5.74,B+ (3.54),B- (2.98)
Coleman Todd Prentice,BENG 100 - Intro to Bioengineering Design (A),SP15,53.4%,67.2%,10.95,B (3.14),B (3.08)
Huang Xiaohua,BENG 102 - Moleculr Components Living Sys (A),SP15,91.7%,91.7%,5.33,B+ (3.50),A- (3.79)
Sah Robert Lie-Yuan,BENG 103B - Bioengineering Mass Transfer (A),SP15,75.6%,51.2%,9.27,B (3.23),B+ (3.31)
Engler Adam J.,BENG 112B - Biomechanics II (A),SP15,93.8%,100.0%,9.01,B+ (3.38),B (3.20)
Hasty Jeff M,BENG 125 - Modeling & Computatio/Bioengr (A),SP15,91.3%,95.7%,7.02,B+ (3.65),B (3.08)
Silva Gabriel,BENG 140B - Bioengineering Physiology (A),SP15,100.0%,100.0%,7.0,A- (3.75),A- (3.72)
Zhang Kun,BENG 160 - Chem & Molecular BENG Techniqs (A),SP15,96.3%,96.3%,5.04,B+ (3.64),B+ (3.57)
Wang Yingxiao,BENG 168 - Biomolecular Engineering (A),SP15,94.4%,94.4%,6.15,B+ (3.38),B+ (3.61)
Cabrales Pedro,BENG 172 - Bioengineering Laboratory (A),SP15,81.3%,100.0%,11.79,B+ (3.67),B+ (3.31)
Omens Jeffrey Howard,BENG 172 - Bioengineering Laboratory (A),SP15,86.7%,100.0%,11.73,B+ (3.64),B+ (3.31)
Christman Karen,BENG 186A - Principles/Biomaterials Design (A),SP15,69.6%,69.6%,6.77,B+ (3.61),B- (2.97)
Cabrales Pedro,BENG 187A - BENG Design Project: Planning (A),SP15,93.3%,96.7%,1.54,A- (3.80),
Cabrales Pedro,BENG 187D - BENG Design Proj:Presentation (A),SP15,100.0%,100.0%,4.5,A- (3.94),A- (3.92)
Mirza Diba,CSE 100 - Advanced Data Structures (A),SP15,96.6%,97.3%,10.73,B (3.18),B (3.17)
Sahoo Debashis,CSE 100 - Advanced Data Structures (B),SP15,91.9%,55.0%,10.14,B (3.28),B (3.25)
Glick John H,CSE 101 - Design & Analysis of Algorithm (A),SP15,82.1%,82.1%,7.69,B (3.08),B (3.04)
Glick John H,CSE 101 - Design & Analysis of Algorithm (B),SP15,94.4%,90.7%,8.65,B+ (3.48),B (3.04)
Kulikov Alexander,CSE 101 - Design & Analysis of Algorithm (C),SP15,85.7%,77.1%,11.56,B (3.26),B- (2.95)
Ferrante Jeanne,CSE 105 - Intro/Theory of Computation (A),SP15,76.2%,95.2%,7.6,B (3.08),B- (2.80)
Ferrante Jeanne,CSE 105 - Intro/Theory of Computation (B),SP15,74.8%,96.2%,8.05,B- (2.99),B- (2.80)
Papadopoulos Philip Micha,CSE 11 - Intr/Computer Sci&Obj-Ori:Java (A),SP15,95.3%,86.0%,11.06,B+ (3.44),B- (2.92)
Gillespie Gary N,CSE 110 - Software Engineering (A),SP15,85.4%,79.8%,11.03,B+ (3.38),B (3.28)
Menarini Massimiliano,CSE 110 - Software Engineering (B),SP15,78.3%,65.2%,8.34,B+ (3.38),B (3.19)
Alvarado Christine J.,CSE 12 - Basic Data Struct & OO Design (A),SP15,94.9%,95.6%,10.79,B (3.30),B- (2.75)
Alvarado Christine J.,CSE 12 - Basic Data Struct & OO Design (B),SP15,97.4%,96.8%,11.34,B+ (3.38),B- (2.75)
Shonle Macneil Charles,CSE 12 - Basic Data Struct & OO Design (C),SP15,90.5%,50.8%,5.33,B+ (3.68),B+ (3.62)
Shonle Macneil Charles,CSE 12 - Basic Data Struct & OO Design (D),SP15,91.4%,55.2%,5.18,A- (3.80),B+ (3.62)
Klemperer Peter Friedrich,CSE 120 - Princ/Computer Operating Systm (B),SP15,85.7%,69.4%,9.69,B (3.21),B- (2.86)
Savage Stefan Roberts,CSE 123 - Computer Networks (A),SP15,88.1%,91.5%,8.05,B- (2.78),B- (2.98)
Voelker Geoffrey M.,CSE 125 - Software Sys Design & Implemnt (A),SP15,100.0%,100.0%,17.1,A (4.00),A (4.00)
Shacham Hovav,CSE 127 - Intro to Computer Security (A),SP15,93.5%,96.8%,10.9,B- (2.97),C (2.02)
Jhala Ranjit,CSE 130 - Progrmng Lang:Princpl&Paradigm (A),SP15,86.5%,80.8%,8.34,B- (2.96),B (3.09)
Bournoutian Garo,CSE 131 - Compiler Construction (A),SP15,63.5%,80.0%,16.71,B- (2.89),C+ (2.49)
Powell Thomas Allan,CSE 134B - Web Client Languages (A),SP15,87.5%,81.3%,8.56,B- (2.93),B- (3.00)
Papakonstantinou Yannis,CSE 135 - Server-side Web Applications (A),SP15,83.8%,70.3%,11.15,B+ (3.31),B- (2.95)
Rosing Tajana Simunic,CSE 140 - Component&Desgn Tech/Digtl Sys (A),SP15,86.9%,86.3%,6.7,B (3.24),C+ (2.66)
Rosing Tajana Simunic,CSE 140 - Component&Desgn Tech/Digtl Sys (B),SP15,90.1%,92.8%,6.69,B (3.12),C+ (2.66)
Gayles Eric S,CSE 140L - Digital Systems Laboratory (A),SP15,74.7%,74.7%,5.65,A- (3.78),B+ (3.66)
Chu Isaac Y,CSE 140L - Digital Systems Laboratory (B),SP15,72.3%,95.2%,5.13,B+ (3.60),B+ (3.56)
Taylor Michael,CSE 141 - Intro/Computer Architecture (A),SP15,57.4%,57.4%,8.68,B- (2.78),B (3.00)
Mirza Diba,CSE 141 - Intro/Computer Architecture (B),SP15,88.8%,98.1%,6.17,B (3.09),B- (2.97)
Eldon John,CSE 141L - Project/Computer Architecture (A),SP15,50.0%,89.3%,11.54,B (3.19),B+ (3.41)
Eldon John,CSE 141L - Project/Computer Architecture (B),SP15,50.0%,92.1%,10.32,B- (2.88),B+ (3.41)
Gupta Rajesh K.,CSE 143 - Microelectronic System Design (A),SP15,77.8%,77.8%,6.5,B (3.11),B+ (3.55)
Kastner Ryan Charles,CSE 145 - Embedded System Design Project (A),SP15,100.0%,100.0%,13.87,B+ (3.68),A (4.00)
Tullsen Dean Michael,CSE 148 - Adv Processor Arch Design Proj (A),SP15,100.0%,100.0%,12.5,B+ (3.38),
Cottrell Garrison W,CSE 150 - Int Artif Intell:Search&Reason (A),SP15,97.3%,75.7%,6.5,B (3.18),B (3.27)
Chaudhuri Kamalika,CSE 151 - Intro to A.I. Stats Approach (A),SP15,88.0%,82.0%,7.77,B (3.26),B+ (3.57)
Ochoa Benjamin Lawrence,CSE 152 - Intro to Computer Vision (A),SP15,78.6%,64.3%,9.58,B- (2.92),B (3.12)
Altintas De Callaf Ilkay,CSE 15L - Software Tools&Techniques Lab (A),SP15,72.0%,78.5%,3.75,B+ (3.53),B (3.12)
Altintas De Callaf Ilkay,CSE 15L - Software Tools&Techniques Lab (B),SP15,74.4%,81.1%,4.06,B+ (3.64),B (3.12)
Gillespie Gary N,CSE 15L - Software Tools&Techniques Lab (C),SP15,66.1%,74.2%,3.64,B+ (3.34),B- (2.97)
Baden Scott B.,CSE 160 - Intro to Parallel Computing (A),SP15,71.4%,57.1%,9.21,B (3.07),B- (2.82)
Schulze Jurgen P.,CSE 167 - Computer Graphics (A),SP15,88.2%,100.0%,15.79,B+ (3.47),B+ (3.30)
Jensen Henrik,CSE 168 - Computer Graphics II:Rendering (A),SP15,100.0%,100.0%,10.83,B+ (3.33),C+ (2.61)
Lovett Shachar,CSE 190 - Topics/Computer Sci & Engineer (A),SP15,57.1%,57.1%,10.79,B+ (3.50),B+ (3.54)
Ramamoorthi Ravi,CSE 190 - Topics/Computer Sci & Engineer (B),SP15,100.0%,100.0%,10.42,A- (3.90),B+ (3.67)
McAuley Julian John,CSE 190 - Topics/Computer Sci & Engineer (C),SP15,92.3%,94.9%,6.82,B+ (3.35),B+ (3.55)
Kumar Rakesh,CSE 190 - Topics/Computer Sci & Engineer (D),SP15,88.5%,88.5%,4.67,B+ (3.68),B+ (3.49)
Gaasterland Theresa,CSE 190 - Topics/Computer Sci & Engineer (E),SP15,93.3%,100.0%,7.3,A (4.00),A- (3.97)
Swanson Steven James,CSE 190 - Topics/Computer Sci & Engineer (F),SP15,100.0%,100.0%,7.0,A (4.00),
Bellare Mihir,CSE 191 - Semnr/Computer Sci & Engineer (A),SP15,100.0%,100.0%,5.7,A (4.00),
Gaasterland Theresa,CSE 191 - Semnr/Computer Sci & Engineer (B),SP15,87.8%,97.6%,1.04,A- (3.97),A- (3.92)
Halicioglu Daniel T,CSE 191 - Semnr/Computer Sci & Engineer (C),SP15,100.0%,100.0%,0.5,,A (4.00)
Minnes Kemp Mor Mia,CSE 191 - Semnr/Computer Sci & Engineer (D),SP15,100.0%,100.0%,7.17,,
Micciancio Daniele,CSE 191 - Semnr/Computer Sci & Engineer (E),SP15,100.0%,100.0%,2.5,,
Langlois Marina,CSE 20 - Intro/Discrete Mathematics (A),SP15,88.9%,74.4%,7.22,B+ (3.33),B+ (3.45)
Kim Yeon Kyung,CSE 20 - Intro/Discrete Mathematics (B),SP15,84.6%,64.1%,5.4,B+ (3.54),B (3.04)
Tiefenbruck Janine LoBue,CSE 21 - Math/Algorithm&Systems Analys (A),SP15,91.7%,95.5%,7.44,B+ (3.44),B (3.29)
Impagliazzo Russell,CSE 21 - Math/Algorithm&Systems Analys (B),SP15,87.2%,66.9%,6.99,B+ (3.36),B (3.19)
Marx Susan S,CSE 3 - Fluency/Information Technology (A),SP15,89.8%,71.4%,3.75,B+ (3.43),B (3.09)
Marx Susan S,CSE 3 - Fluency/Information Technology (B),SP15,87.5%,62.5%,4.29,B+ (3.44),B (3.09)
Ord Richard,CSE 30 - Computer Organiz&Systms Progrm (A),SP15,100.0%,100.0%,11.04,B+ (3.50),B (3.09)
Ord Richard,CSE 30 - Computer Organiz&Systms Progrm (B),SP15,92.6%,95.6%,10.38,B+ (3.53),B (3.09)
Marx Susan S,CSE 7 - Intro Programming MATLAB (A),SP15,85.0%,80.0%,4.75,B+ (3.61),B+ (3.34)
Cottrell Garrison W,CSE 87 - Freshman Seminar (A),SP15,100.0%,71.4%,0.5,A (4.00),
Papakonstantinou Yannis,CSE 87 - Freshman Seminar (B),SP15,100.0%,100.0%,0.72,A (4.00),
Klemperer Peter Friedrich,CSE 8A - Intro/Computer Sci: Java (I) (A),SP15,94.0%,93.2%,6.43,B+ (3.39),B (3.16)
Porter Leonard Emerson,CSE 8B - Intro/Computer Sci. Java (II) (A),SP15,91.5%,93.6%,11.43,B+ (3.40),B (3.07)
Ord Richard,CSE 8B - Intro/Computer Sci. Java (II) (B),SP15,97.4%,98.7%,11.2,B+ (3.51),B (3.16)
Gillespie Gary N,CSE 90 - Undergraduate Seminar (A),SP15,89.3%,92.9%,1.39,A (4.00),
